Designator,Footprint,Quantity,Value,LCSC Part #
"C111, C112, C113, C121, C126",0402,5,1uF,
C114,0402,1,47nF,
"C118, C119",0805,2,1uF,
"C120, C122, C123, C124",0402,4,0.1uF,
C125,0402,1,10nF,
LED101,0603,1,LED25,
LED102,0603,1,LED50,
LED103,0603,1,LED75,
LED104,0603,1,LED100,
LED105,0603,1,STATUS,
"R101, R102, R103, R104, R105",0402,5,75,
R106,0402,1,100R,
"R107, R108",0402,2,4.7k,
"R109, R110",0402,2,10k,
"RN101, RN102, RN103",R_Array_Convex_4x0402,3,100R,
U101,TQFP-48_L7.0-W7.0-P0.50-LS9.0-TL,1,BQ7695202PFBR,C3038665
U102,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-TL,1,MIC5219-3.3YM5,C29613
U103,CONN-SMD_13P-P2.50_HCZZ0520-13,1,INPUT,C7433778
U104,CONN-SMD_13P-P2.50_HCZZ0520-13,1,OUTPUT,C7433778
U106,POWERDI-5_L5.4-W4.0-LS6.5-RD,1,ZXTR2012P5-13,C155307
U107,ESP32-C3-WROOM-02U,1,ESP32-C3-WROOM-02U,
