Designator,Mid X,Mid Y,Rotation,Layer
C111,170.35,-144.4,90.0,bottom
C112,171.0,-133.47,270.0,bottom
C113,170.0,-133.47,270.0,bottom
C114,170.3,-135.65,270.0,bottom
C118,191.9,-134.3,0.0,bottom
C119,192.95,-123.3,90.0,bottom
C120,173.281,-127.569,0.0,bottom
C121,173.281,-126.369,0.0,bottom
C122,173.281,-132.969,180.0,bottom
C123,170.45,-125.65,0.0,bottom
C124,170.451469,-126.8,0.0,bottom
C125,170.451469,-127.95,0.0,bottom
C126,170.0,-121.25,90.0,bottom
LED101,170.99,-150.6,90.0,top
LED102,173.3925,-150.6,90.0,top
LED103,175.795,-150.6,90.0,top
LED104,178.1975,-150.6,90.0,top
LED105,180.6,-150.6,90.0,top
R101,170.99,-150.6,90.0,bottom
R102,173.3925,-150.6,90.0,bottom
R103,175.795,-150.6,90.0,bottom
R104,178.1975,-150.6,90.0,bottom
R105,180.6,-150.6,90.0,bottom
R106,177.3,-146.7,90.0,bottom
R107,170.0,-116.95,90.0,bottom
R108,170.0,-119.05,90.0,bottom
R109,170.0,-123.55,90.0,bottom
R110,191.4,-120.7,90.0,bottom
RN101,184.9,-146.7,180.0,bottom
RN102,182.1,-146.7,180.0,bottom
RN103,179.3,-146.7,180.0,bottom
U101,174.6,-139.75,270.0,bottom
U102,173.281,-130.269,90.0,bottom
U103,174.2,-129.0,270.0,top
U104,189.55,-129.05,90.0,top
U106,191.9,-130.18,270.0,bottom
U107,180.89,-117.15,180.0,bottom
